model,toolset_size,retrieval,invocation,n_queries,media_variante,media_baseline,delta_pp,p,p_holm,significativo_holm,relevante
deepseek-v4-flash,50,embedding,native,64,0.8687499999999999,0.303125,56.56250000000001,9.999000099990002e-05,0.00039996000399960006,True,True
deepseek-v4-flash,50,hybrid,native,64,0.88125,0.303125,57.8125,9.999000099990002e-05,0.00039996000399960006,True,True
gemma-4-e4b,50,embedding,native,64,0.765625,0.28125,48.4375,9.999000099990002e-05,0.00039996000399960006,True,True
gemma-4-e4b,50,hybrid,native,64,0.78125,0.28125,50.0,9.999000099990002e-05,0.00039996000399960006,True,True
